model	full class	exception	tine	include	len	class
CaTissueSuite	edu.wustl.catissuecore.domain.Address	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.994	FALSE	30	Address
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.ConceptReferent	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	1.004	FALSE	30	pathology.ConceptReferent
CaTissueSuite	edu.wustl.catissuecore.domain.DistributedItem	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	1.056	FALSE	30	DistributedItem
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.PathologyReportReviewParameter	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	1.064	FALSE	30	pathology.PathologyReportReviewParameter
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.Concept	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	1.115	FALSE	30	pathology.Concept
CaTissueSuite	edu.wustl.catissuecore.domain.Specimen	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	1.579	FALSE	30	Specimen
CaTissueSuite	edu.wustl.catissuecore.domain.DistributionSpecimenRequirement	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	2.377	FALSE	30	DistributionSpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.Capacity	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	2.737	FALSE	30	Capacity
CaTissueSuite	edu.wustl.catissuecore.domain.Participant	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	3.537	FALSE	30	Participant
CaTissueSuite	edu.wustl.catissuecore.domain.NewSpecimenOrderItem	none	0.569	TRUE	30	NewSpecimenOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.IdentifiedSurgicalPathologyReport	none	0.597	TRUE	30	pathology.IdentifiedSurgicalPathologyReport
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.BinaryContent	none	0.6	TRUE	30	pathology.BinaryContent
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.SurgicalPathologyReport	none	0.6	TRUE	30	pathology.SurgicalPathologyReport
CaTissueSuite	edu.wustl.catissuecore.domain.CellSpecimenReviewParameters	none	0.608	TRUE	30	CellSpecimenReviewParameters
CaTissueSuite	edu.wustl.catissuecore.domain.Container	none	0.608	TRUE	30	Container
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.TextContent	none	0.611	TRUE	30	pathology.TextContent
CaTissueSuite	edu.wustl.catissuecore.domain.FixedEventParameters	none	0.63	TRUE	30	FixedEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.ContainerType	none	0.632	TRUE	30	ContainerType
CaTissueSuite	edu.wustl.catissuecore.domain.ExistingSpecimenOrderItem	none	0.642	TRUE	30	ExistingSpecimenOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.NewSpecimenArrayOrderItem	none	0.643	TRUE	30	NewSpecimenArrayOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.shippingtracking.Shipment	none	0.651	TRUE	30	shippingtracking.Shipment
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenArrayType	none	0.653	TRUE	30	SpecimenArrayType
CaTissueSuite	edu.wustl.catissuecore.domain.DerivedSpecimenOrderItem	none	0.658	TRUE	30	DerivedSpecimenOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.ReviewEventParameters	none	0.709	TRUE	30	ReviewEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.ThawEventParameters	none	0.736	TRUE	30	ThawEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.SpunEventParameters	none	0.738	TRUE	30	SpunEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenRequirement	none	0.775	TRUE	30	SpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.FluidSpecimenReviewEventParameters	none	0.788	TRUE	30	FluidSpecimenReviewEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.ProcedureEventParameters	none	0.85	TRUE	30	ProcedureEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.OrderItem	none	1.009	TRUE	30	OrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenArrayOrderItem	none	1.426	TRUE	30	SpecimenArrayOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.ReportContent	none	1.547	TRUE	30	pathology.ReportContent
CaTissueSuite	edu.wustl.catissuecore.domain.MolecularSpecimen	none	1.803	TRUE	30	MolecularSpecimen
CaTissueSuite	edu.wustl.catissuecore.domain.shippingtracking.ShipmentRequest	none	2.306	TRUE	30	shippingtracking.ShipmentRequest
CaTissueSuite	edu.wustl.catissuecore.domain.FluidSpecimenRequirement	none	2.422	TRUE	30	FluidSpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.CollectionProtocol	none	2.778	TRUE	30	CollectionProtocol
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenEventParameters	none	3.43	TRUE	30	SpecimenEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.CheckInCheckOutEventParameter	none	4.319	TRUE	30	CheckInCheckOutEventParameter
CaTissueSuite	edu.wustl.catissuecore.domain.StorageType	none	4.437	TRUE	30	StorageType
CaTissueSuite	edu.wustl.catissuecore.domain.ReturnEventParameters	none	4.484	TRUE	30	ReturnEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.CollectionProtocolEvent	none	4.495	TRUE	30	CollectionProtocolEvent
CaTissueSuite	edu.wustl.catissuecore.domain.TissueSpecimenRequirement	none	6.148	TRUE	30	TissueSpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.TransferEventParameters	none	11.528	TRUE	30	TransferEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.DistributionProtocol	none	12.896	TRUE	30	DistributionProtocol
CaTissueSuite	edu.wustl.catissuecore.domain.DisposalEventParameters	none	22.805	TRUE	30	DisposalEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.Password	org.apache.axis.AxisFault	600.298	FALSE	30	Password
CaTissueSuite	edu.wustl.catissuecore.domain.MolecularSpecimenRequirement	org.apache.axis.AxisFault	600.306	FALSE	30	MolecularSpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.TissueSpecimenReviewEventParameters	org.apache.axis.AxisFault	600.322	FALSE	30	TissueSpecimenReviewEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.XMLContent	org.apache.axis.AxisFault	600.333	FALSE	30	pathology.XMLContent
CaTissueSuite	edu.wustl.catissuecore.domain.CollectionEventParameters	org.apache.axis.AxisFault	600.341	FALSE	30	CollectionEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.ExternalIdentifier	org.apache.axis.AxisFault	600.356	FALSE	30	ExternalIdentifier
CaTissueSuite	edu.wustl.catissuecore.domain.Distribution	org.apache.axis.AxisFault	600.358	FALSE	30	Distribution
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.ReportSection	org.apache.axis.AxisFault	600.361	FALSE	30	pathology.ReportSection
CaTissueSuite	edu.wustl.catissuecore.domain.FluidSpecimen	org.apache.axis.AxisFault	600.363	FALSE	30	FluidSpecimen
CaTissueSuite	edu.wustl.catissuecore.domain.TissueSpecimen	org.apache.axis.AxisFault	600.371	FALSE	30	TissueSpecimen
CaTissueSuite	edu.wustl.catissuecore.domain.CellSpecimen	org.apache.axis.AxisFault	600.377	FALSE	30	CellSpecimen
CaTissueSuite	edu.wustl.catissuecore.domain.CancerResearchGroup	org.apache.axis.AxisFault	600.378	FALSE	30	CancerResearchGroup
CaTissueSuite	edu.wustl.catissuecore.domain.StorageContainer	org.apache.axis.AxisFault	600.387	FALSE	30	StorageContainer
CaTissueSuite	edu.wustl.catissuecore.domain.OrderDetails	org.apache.axis.AxisFault	600.398	FALSE	30	OrderDetails
CaTissueSuite	edu.wustl.catissuecore.domain.shippingtracking.BaseShipment	org.apache.axis.AxisFault	600.398	FALSE	30	shippingtracking.BaseShipment
CaTissueSuite	edu.wustl.catissuecore.domain.ExistingSpecimenArrayOrderItem	org.apache.axis.AxisFault	600.399	FALSE	30	ExistingSpecimenArrayOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.ReceivedEventParameters	org.apache.axis.AxisFault	600.408	FALSE	30	ReceivedEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.User	org.apache.axis.AxisFault	600.414	FALSE	30	User
CaTissueSuite	edu.wustl.catissuecore.domain.Biohazard	org.apache.axis.AxisFault	600.429	FALSE	30	Biohazard
CaTissueSuite	edu.wustl.catissuecore.domain.ContainerPosition	org.apache.axis.AxisFault	600.462	FALSE	30	ContainerPosition
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenCharacteristics	org.apache.axis.AxisFault	600.492	FALSE	30	SpecimenCharacteristics
CaTissueSuite	edu.wustl.catissuecore.domain.EmbeddedEventParameters	org.apache.axis.AxisFault	600.508	FALSE	30	EmbeddedEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.PathologicalCaseOrderItem	org.apache.axis.AxisFault	600.555	FALSE	30	PathologicalCaseOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.ConsentTierResponse	org.apache.axis.AxisFault	600.584	FALSE	30	ConsentTierResponse
CaTissueSuite	edu.wustl.catissuecore.domain.ConsentTier	org.apache.axis.AxisFault	600.828	FALSE	30	ConsentTier
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenOrderItem	org.apache.axis.AxisFault	600.883	FALSE	30	SpecimenOrderItem
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenPosition	org.apache.axis.AxisFault	601.1	FALSE	30	SpecimenPosition
CaTissueSuite	edu.wustl.catissuecore.domain.CellSpecimenRequirement	org.apache.axis.AxisFault	601.33	FALSE	30	CellSpecimenRequirement
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenCollectionGroup	org.apache.axis.AxisFault	601.463	FALSE	30	SpecimenCollectionGroup
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenArray	org.apache.axis.AxisFault	616.693	FALSE	30	SpecimenArray
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.DeidentifiedSurgicalPathologyReport	org.apache.axis.AxisFault	641.212	FALSE	30	pathology.DeidentifiedSurgicalPathologyReport
CaTissueSuite	edu.wustl.catissuecore.domain.FrozenEventParameters	org.apache.axis.AxisFault	6042.883	FALSE	30	FrozenEventParameters
CaTissueSuite	edu.wustl.catissuecore.domain.CollectionProtocolRegistration	org.apache.axis.AxisFault	7641.952	FALSE	30	CollectionProtocolRegistration
